reviewId,final_text,aspek_llm,sentimen_llm
93e17f30-0230-4dd7-83dd-4c379b67e4a4,ngalamin gagal transaksi tinggalkan halamansaldo kepotong transaksi gagal,safety,0
a4e09a92-383d-4183-a840-b3f397f01faa,gejala pembayaran binjol,functional suitability,0
1ab458bb-9ede-42e2-b8e7-2b98ba4637d9,mudah-mudahan uang masuk rekening milyaran amin,functional suitability,1
705156ab-196d-4060-bb43-4595c1166fd8,tidak ribet simpel,interaction capability,1
5bc2d6ac-2e4e-4e9c-a6da-89a42c79fb86,mudah bayar bayar,functional suitability,1
dee98d1f-9e7c-41c4-a5f0-9b677877010b,aplikasi tidak bisa buka kalo buka tulisan aplikasi berehenti,reliability,0
acc1fd5e-f701-41ef-8cab-3d58ccc764ea,tolong mengadakan fitur email nomor handphone login tidak susah orang login,security,2
f17d6ecc-b1c0-4d0d-8822-d4fa98e7de60,aplikasi tidak bisa buka kadang bisa kadang enggak,reliability,0
43de3b30-c406-43b8-b2a6-01be5caf4dbf,tolong perbaiki download mbankingnya kasih bintang bisa download,maintainability,0
badcf489-d43b-452a-9f88-890d9b0bcf8a,tidak bisa konfirmasi password,security,0
6059e0f7-a44e-41c4-b548-496a2c154272,buka tidak gimana,interaction capability,2
0f86f9ec-1fb1-403c-88df-8d96d88b1751,aplikasi membantu nasabah,functional suitability,1
a3e98938-499f-40ef-bb26-70e6fe3842b8,tidak bisa transaksi transfer,functional suitability,0
a75f64b8-d170-4fac-a602-332f593c4b70,uangnya kepotong tidak pakai huwehhh,safety,0
d155554a-ff58-4a11-9004-f571657330f6,layanan transfer fast tidak bisa,functional suitability,0
bb6ad7f5-bdf0-4f39-806c-38e87d3ebc55,membantu kurang bantuan dana membutuhkan,functional suitability,0
97d8d451-e106-415e-b58e-0185c81b5c0d,aplikasi tidak transaksi atur tidak tinggalkan halaman sesuai,functional suitability,0
debcccc3-874f-4f6e-bacc-25516e183c62,kartu tanggal lahir tidak bisa masuk install handphone jadul handphone error tidak bisa pakai layanan sms tidak bisa alihkan menyusahkan atm transaksi,compatibility,0
ae73b882-3198-4f31-9f1f-fc82c0688732,enggak jelas aplikasi lihat saldo tidak bisa,interaction capability,0
247e649f-30d9-4574-834a-74c7c2d8c57a,bukan gimana handphone hilang deh ganti handphone maui buka tidak bisa mohon bantuannya,security,2
77355b91-ce87-4dbd-a23e-b0701b9d1e8f,barusan trf skn belum masuk penerima saldo terpotong jam kerja mohon proses,safety,0
65cf8a05-4037-4992-87c4-997e764e3bb9,bagus semoga update paylater,maintainability,1
76b2d528-4021-4309-9a6f-77295359274c,masuk aplikasi tidak bisa nasabah dipersulit ber transaksi,security,0
51f2b38e-e79a-4c5f-abd0-10f20499d9cb,potong tidak malas pakenya rugi muluh kalo nabung,safety,0
1bc55de1-b3f9-4cdf-83d0-445f2286bb23,kasih bintang transfer coba berulang2 tidak bisa² normal revieuw ulang,functional suitability,0
cbec45e7-a3bb-400d-977a-dcc7b839740b,tidak bisa trf gangguan suruh jam otomatis,compatibility,0
48e9a09f-942d-47cf-aa67-415e0c070b7e,troble tidak bisa pakai transaksi,reliability,0
